Type	ID	Name	Description	Target	MoA
cp	BRD-K71512533	SNS-314	Aurora kinase inhibitor	AURKA, AURKB, AURKC	Aurora kinase inhibitor
cp	BRD-A56987319	SQ-22536	Adenylyl cyclase inhibitor	ADCY1, ADCY5	Adenylyl cyclase inhibitor
cp	BRD-A91866971	SQ-29548	Thromboxane receptor antagonist		Thromboxane receptor antagonist
cp	BRD-K91243525	SR-142948	Neurotensin receptor antagonist	NTSR1	Neurotensin receptor antagonist
cp	BRD-K35629949	SR-27897	CCK receptor antagonist	CCKAR	CCK receptor antagonist
cp	BRD-K09397065	SR-57227A	Serotonin receptor agonist	HTR3A	Serotonin receptor agonist
cp	BRD-K35430135	SR-59230A	Adrenergic receptor antagonist	ADRB3, ADRB1, ADRB2	Adrenergic receptor antagonist
cp	BRD-K19309090	SR-95639A	Acetylcholine receptor agonist	CHRM1	Acetylcholine receptor agonist
cp	BRD-K50495309	SRC-kinase-inhibitor-I	SRC inhibitor	CSK, LCK, RIPK2	SRC inhibitor
cp	BRD-K97330509	SRC-kinase-inhibitor-II	SRC inhibitor		SRC inhibitor
cp	BRD-K72895815	SSR-69071	Leukocyte elastase inhibitor	ELANE	Leukocyte elastase inhibitor
cp	BRD-K51476772	ST-638	Tyrosine kinase inhibitor		Tyrosine kinase inhibitor
cp	BRD-K18905250	ST-91	Adrenergic receptor agonist		Adrenergic receptor agonist
cp	BRD-K52620403	STO-609	Calmodulin antagonist	CAMKK1, CAMKK2	Calmodulin antagonist
cp	BRD-K02965346	SU-11274	Hepatocyte growth factor receptor inhibitor	MET	Hepatocyte growth factor receptor inhibitor, Tyrosine kinase inhibitor
cp	BRD-K60623809	SU-11652	Tyrosine kinase inhibitor	KDR, PDGFRB, CAMK1G, FGF2, FGFR1, FLT1, KIT, PDGFRA	Tyrosine kinase inhibitor
cp	BRD-K34995470	SU-1498	VEGFR inhibitor	ERBB2, KDR	VEGFR inhibitor
cp	BRD-K20287671	SU-4312	PDGFR receptor inhibitor	KDR, PDGFRB	PDGFR receptor inhibitor, Tyrosine kinase inhibitor, VEGFR inhibitor
cp	BRD-K97354755	SU-6656	SRC inhibitor	LYN, AURKB, AURKC, BRSK2, CALM1, CAMK2D, LCK, RET, SRC, YES1	SRC inhibitor
cp	BRD-K30189597	SYK-inhibitor	SYK inhibitor	SYK	SYK inhibitor
cp	BRD-K31843556	T-0070907	PPAR receptor antagonist	PPARG	PPAR receptor antagonist
cp	BRD-K63516691	T-0156	Phosphodiesterase inhibitor	PDE5A	Phosphodiesterase inhibitor
cp	BRD-K23383398	T-0901317	LXR agonist	NR1H3, NR1H2, ABCA1, NCOA1, NCOA2, NR1I2, RORA, RORC, RXRB	LXR agonist, ABC transporter expression enhancer, ROR inverse agonist
cp	BRD-K62221994	T-98475	Gonadotropin releasing factor hormone receptor antagonist	GNRH1, GNRHR	Gonadotropin releasing factor hormone receptor antagonist
cp	BRD-K52751261	TAK-715	p38 MAPK inhibitor	MAPK14, TNF	p38 MAPK inhibitor
cp	BRD-K55454768	TAS-301	Calcium-calmodulin dependent protein kinase inhibitor	CAMK2A	Calcium-calmodulin dependent protein kinase inhibitor
cp	BRD-K67352070	TC-2559	Acetylcholine receptor agonist	CHRNA4	Acetylcholine receptor agonist
cp	BRD-A31195449	TCB2	Serotonin receptor agonist	HTR2A	Serotonin receptor agonist
cp	BRD-K30743633	TCPOBOP	CAR agonist	NR1I3	CAR agonist
cp	BRD-K81376179	TCS-359	FLT3 inhibitor	FLT3	FLT3 inhibitor
cp	BRD-A33833419	TER-14687	Inhibitor of translocation of PKCq in T cells	PRKCQ	Inhibitor of translocation of PKCq in T cells
cp	BRD-K94887716	TFMPP	Serotonin receptor agonist		Serotonin receptor agonist, Serotonin receptor antagonist
cp	BRD-K12502280	TG-101348	FLT3 inhibitor	JAK2, FLT3, BRD4, JAK1, JAK3, RET, TYK2	FLT3 inhibitor, JAK inhibitor
cp	BRD-K64785675	TG100-115	-666	PIK3CG, PIK3CA, PIK3CB, PIK3CD	-666
cp	BRD-A41692738	TGX-221	PI3K inhibitor	PIK3CB, PIK3CD	PI3K inhibitor
cp	BRD-K12867552	THM-I-94	HDAC inhibitor	HDAC1, HDAC10, HDAC2, HDAC3, HDAC6, HDAC8	HDAC inhibitor
cp	BRD-K51575138	TPCA-1	IKK inhibitor	IKBKB	IKK inhibitor
cp	BRD-K68246049	TTNPB	Retinoid receptor agonist	RARB, RARA, RARG	Retinoid receptor agonist
cp	BRD-K22828899	TUL-XXI039	Serine/threonine kinase inhibitor		Serine/threonine kinase inhibitor
cp	BRD-K28360340	TW-37	BCL inhibitor	BCL2, BCL2L1, MCL1	BCL inhibitor
cp	BRD-K94176593	TWS-119	Glycogen synthase kinase inhibitor	GSK3B, JUN, MYC	Glycogen synthase kinase inhibitor
cp	BRD-K48427617	U-0124	MEK inhibitor		MEK inhibitor
cp	BRD-K18787491	U-0126	MEK inhibitor	AKT1, CHEK1, GSK3B, JAK2, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1	MEK inhibitor
cp	BRD-A81795050	U-18666A	Oxidosqualene cyclase inhibitor		Oxidosqualene cyclase inhibitor
cp	BRD-K18757346	U-46619	Thromboxane receptor agonist	PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R	Thromboxane receptor agonist
cp	BRD-K20995441	U-54494A	Opioid receptor agonist		Opioid receptor agonist
cp	BRD-A96897502	U-74389F	Lipid peroxidase inhibitor		Lipid peroxidase inhibitor
cp	BRD-K70281171	U-99194	Dopamine receptor antagonist	DRD3	Dopamine receptor antagonist
cp	BRD-A14574269	UB-165	Acetylcholine receptor agonist	CHRNA3, CHRNA4, CHRNB2	Acetylcholine receptor agonist
cp	BRD-A45499626	UBP-302	Glutamate receptor antagonist	GRIK1	Glutamate receptor antagonist
cp	BRD-K50325075	UCL-2077	Slow after hyperpolarization channel blocker		Slow after hyperpolarization channel blocker
cp	BRD-K57011718	UK-356618	Metalloproteinase inhibitor	MMP3, MMP13, MMP14, MMP2, MMP9	Metalloproteinase inhibitor
cp	BRD-K74236984	UNC-0321	Histone lysine methyltransferase inhibitor	EHMT2	Histone lysine methyltransferase inhibitor
cp	BRD-K51018020	VAMA-37	DNA dependent protein kinase inhibitor	PRKDC	DNA dependent protein kinase inhibitor
cp	BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor	KDR	VEGFR inhibitor
cp	BRD-K32330832	VER-155008	HSP inhibitor	HSPA1A	HSP inhibitor
cp	BRD-K37456065	VU-0365114-2	M5 modulator	CHRM5	M5 modulator
cp	BRD-K39823328	VU-0366037-2	Glutamate receptor modulator	GRM4	Glutamate receptor modulator
cp	BRD-A57457122	VU-0400071-3	Glutamate receptor modulator	GRM4	Glutamate receptor modulator
cp	BRD-K84141129	VU-0400193-3	Glutamate receptor modulator	GRM4	Glutamate receptor modulator
cp	BRD-K30570479	VU-0400195-3	Glutamate receptor modulator	GRM4	Glutamate receptor modulator
cp	BRD-A34208323	VU-0404997-2	Glutamate receptor modulator	GRM4	Glutamate receptor modulator
cp	BRD-A52172093	VU-0413807-2	Calcium channel blocker	CACNA1G, CACNA1H, CACNA1I	Calcium channel blocker
cp	BRD-K83010055	VU-0415374-1	Glutamate receptor modulator	GRM4	Glutamate receptor modulator
cp	BRD-K44432556	VU-0418946-1	HIF modulator	HIF1A	HIF modulator
cp	BRD-K76907295	VU-0418947-2	HIF modulator		HIF modulator
cp	BRD-K59633790	VU-0420363-1	SARS coronavirus 3C-like protease inhibitor		SARS coronavirus 3C-like protease inhibitor
cp	BRD-K62206109	VUF-5681	Histamine receptor antagonist	HRH3	Histamine receptor antagonist
cp	BRD-K81783531	VX-222	HCV inhibitor		HCV inhibitor
cp	BRD-K07736136	VX-702	p38 MAPK inhibitor	MAPK14, MAPK11, MAPK12	p38 MAPK inhibitor
cp	BRD-K91900765	VX-745	p38 MAPK inhibitor	MAPK14, MAPK11, MAPK12	p38 MAPK inhibitor
cp	BRD-K78084463	W-12	Calmodulin antagonist		Calmodulin antagonist
cp	BRD-K45068323	W-13	Calmodulin antagonist	CALM1, MYLK, PDE1A	Calmodulin antagonist
cp	BRD-K41868777	W-5	Calmodulin antagonist		Calmodulin antagonist
cp	BRD-K90259198	W-7	Calmodulin antagonist	CALM1, CALM2, KCNA5, KCNH2, TNNC1, TNNI3	Calmodulin antagonist, Potassium channel blocker
cp	BRD-K68341547	W-9	Calmodulin antagonist	CALM2	Calmodulin antagonist
cp	BRD-A62021152	WAY-161503	Serotonin receptor agonist	HTR2C	Serotonin receptor agonist
cp	BRD-K36198571	WAY-170523	Metalloproteinase inhibitor	MMP13	Metalloproteinase inhibitor
cp	BRD-A20968261	WAY-213613	Glutamate inhibitor	SLC1A2	Glutamate inhibitor
cp	BRD-K55430733	WAY-629	Serotonin receptor agonist	HTR2C	Serotonin receptor agonist
cp	BRD-U44618005	WH-4023	SRC inhibitor	ABL1, LCK, SRC	SRC inhibitor
cp	BRD-K26669427	WR-216174	PFMRK inhibitor		PFMRK inhibitor
cp	BRD-K74761218	WT-171	HDAC inhibitor	HDAC6	HDAC inhibitor
cp	BRD-A45498368	WYE-125132	MTOR inhibitor	MTOR, PIK3CA	MTOR inhibitor
cp	BRD-K77008974	WYE-354	MTOR inhibitor	MTOR	MTOR inhibitor
cp	BRD-K73293050	WZ-3146	EGFR inhibitor	EGFR	EGFR inhibitor
cp	BRD-U25771771	WZ-4-145	EGFR inhibitor	CSF1R, DDR1, EGFR, PDGFRA, TIE1	EGFR inhibitor
cp	BRD-K72420232	WZ-4002	EGFR inhibitor	EGFR, ERBB2	EGFR inhibitor
cp	BRD-K12762134	XAV-939	Tankyrase inhibitor	TNKS, TNKS2	Tankyrase inhibitor
cp	BRD-K42748308	XE-991	Potassium channel blocker	KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5	Potassium channel blocker
cp	BRD-K95901403	XL-147	PI3K inhibitor	PIK3CA, PIK3CD, PIK3CG	PI3K inhibitor
cp	BRD-K01436366	XMD-1150	Leucine rich repeat kinase inhibitor	LRRK2	Leucine rich repeat kinase inhibitor
cp	BRD-K64857848	XMD-885	Leucine rich repeat kinase inhibitor	LRRK2, MAPK7	Leucine rich repeat kinase inhibitor, MAP kinase inhibitor
cp	BRD-K50387473	XMD-892	MAP kinase inhibitor	MAPK7, DCLK2, LRRK2, PLK4, TNK1	MAP kinase inhibitor
cp	BRD-K94832621	Y-134	Estrogen receptor antagonist	ESR1, ESR2	Estrogen receptor antagonist
cp	BRD-K45117373	Y-26763	Potassium channel activator	ABCC9, KCNJ8	Potassium channel activator
cp	BRD-K42679050	Y-27152	Potassium channel activator	ABCC9, KCNJ8	Potassium channel activator
cp	BRD-K44084986	Y-27632	Rho associated kinase inhibitor	ROCK1, ROCK2, LRRK2, PKIA, PKN2, PRKACA, PRKCE	Rho associated kinase inhibitor
cp	BRD-K60476892	YC-1	Guanylyl cyclase activator	HIF1A, GUCY1A2, GUCY1A3, GUCY1B3	Guanylyl cyclase activator
cp	BRD-A62182663	YK-4279	Apoptosis stimulant	DHX9, EWSR1, FLI1	Apoptosis stimulant, EWS-FLI1 inhibitor
cp	BRD-K24681473	YM-155	Survivin inhibitor	BIRC5	Survivin inhibitor
cp	BRD-K59650319	YM-298198	Glutamate receptor antagonist	GRM1	Glutamate receptor antagonist
cp	BRD-K06712146	YM-90709	IL5 inhibitor	CSF2RB, IL5RA	IL5 inhibitor
cp	BRD-K12932420	YM-976	Phosphodiesterase inhibitor	PDE4A, PDE4B, PDE4C, PDE4D, TNF	Phosphodiesterase inhibitor
cp	BRD-K06208435	YS-035	Calcium channel blocker		Calcium channel blocker
cp	BRD-K64157027	ZD-2079	Adrenergic receptor agonist	ADRB3	Adrenergic receptor agonist
cp	BRD-K45296539	ZD-7114	Adrenergic receptor agonist	ADRB3	Adrenergic receptor agonist
cp	BRD-K11373525	ZD-7155	Angiotensin receptor antagonist	AGTR1	Angiotensin receptor antagonist
cp	BRD-K18678457	ZD-7288	HCN channel blocker	HCN1, HCN2, HCN3, HCN4	HCN channel blocker
cp	BRD-U51951544	ZG-10	JNK inhibitor	MAPK8	JNK inhibitor
cp	BRD-K05151076	ZK-164015	Estrogen receptor antagonist	ESR1, ESR2	Estrogen receptor antagonist
cp	BRD-K56403959	ZK-756326	CC chemokine receptor ligand	CCR8	CC chemokine receptor ligand
cp	BRD-K33882852	ZK-93423	Benzodiazepine receptor agonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2	Benzodiazepine receptor agonist
cp	BRD-K68392338	ZK-93426	Benzodiazepine receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA5	Benzodiazepine receptor antagonist
cp	BRD-K19605405	ZM-241385	Adenosine receptor antagonist	ADORA2A, ADORA2B, ADORA1, ADORA3	Adenosine receptor antagonist
cp	BRD-K41337261	ZM-306416	ABL inhibitor	FLT1, KDR, EGFR, FLT4	ABL inhibitor, SRC inhibitor, VEGFR inhibitor
cp	BRD-K67831364	ZM-323881	VEGFR inhibitor	KDR	VEGFR inhibitor
cp	BRD-K40624912	ZM-39923	JAK inhibitor	JAK1, JAK3	JAK inhibitor
cp	BRD-K72703948	ZM-447439	Aurora kinase inhibitor	AURKA, AURKB	Aurora kinase inhibitor
cp	BRD-K63068307	ZSTK-474	PI3K inhibitor	PIK3CG, PIK3CA, PIK3CB, PIK3CD	PI3K inhibitor
cp	BRD-K55301415	abiraterone	17,20 lyase inhibitor	CYP17A1, CYP11B1	17,20 lyase inhibitor, Androgen biosynthesis inhibitor, Cytochrome P450 inhibitor, Steroid sulfatase inhibitor
cp	BRD-A95696820	acadesine	AMPK activator		AMPK activator
cp	BRD-M41783010	acamprosate	Glutamate receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5	Glutamate receptor antagonist
cp	BRD-A16444946	acarbose	Glucosidase inhibitor	GAA, MGAM, AMY2A, SI	Glucosidase inhibitor
cp	BRD-A29260609	acebutolol	Adrenergic receptor antagonist	ADRB1, ADRB2	Adrenergic receptor antagonist
cp	BRD-K37814297	acepromazine	Dopamine receptor antagonist	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	Dopamine receptor antagonist
cp	BRD-K74112339	acetohydroxamic-acid	Urease inhibitor		Urease inhibitor
cp	BRD-K79437791	acetyl-farnesyl-cysteine	Inhibitor of methylation of endogenous isoprenylated proteins	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins
cp	BRD-K75181824	acetyl-geranygeranyl-cysteine	Inhibitor of methyl esterification of geranylgeranylated proteins		Inhibitor of methyl esterification of geranylgeranylated proteins
cp	BRD-U01690642	acetyl-geranyl-cysteine	Isoprenylated protein methylation inhibitor		Isoprenylated protein methylation inhibitor
cp	BRD-K82381502	acetylcholine	Acetylcholine receptor agonist	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	Acetylcholine receptor agonist
cp	BRD-K62012036	acitretin	Retinoid receptor agonist	RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3	Retinoid receptor agonist
cp	BRD-K33483813	actarit	Interleukin receptor agonist		Interleukin receptor agonist
cp	BRD-K32318651	acyclovir	DNA polymerase inhibitor	PNP	DNA polymerase inhibitor
cp	BRD-K67261995	adipiodone	Contrast agent	ALB	Contrast agent
cp	BRD-K66175015	afatinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	EGFR inhibitor
cp	BRD-A14966924	alaproclate	Serotonin receptor antagonist	SLC6A4	Serotonin receptor antagonist
cp	BRD-K79131256	albendazole	Anthelmintic	CYP1A2, CYP2J2, TUBA1A, TUBB, TUBB4B	Anthelmintic, Tubulin inhibitor
cp	BRD-A90131694	alclometasone	Glucocorticoid receptor agonist	NR3C1, SERPINA6	Glucocorticoid receptor agonist, Immunosuppressant
cp	BRD-K93433262	alfacalcidol	Vitamin D receptor agonist	VDR, CYP27B1, CYP3A5	Vitamin D receptor agonist
cp	BRD-K51751936	alfadolone	GABA receptor agonist		GABA receptor agonist
cp	BRD-K41445866	alfaxalone	Chloride channel agonist	HSD11B1	Chloride channel agonist, GABA receptor agonist
cp	BRD-A09056319	alfuzosin	Adrenergic receptor antagonist	ADRA1A, ADRA1D, ADRA1B, KCNH2	Adrenergic receptor antagonist
cp	BRD-A49225603	alimemazine	Histamine receptor agonist	HRH1	Histamine receptor agonist
cp	BRD-K75295174	alisertib	Aurora kinase inhibitor	AURKA	Aurora kinase inhibitor
cp	BRD-K30020243	aliskiren	Antihypertensive	REN	Antihypertensive, Peptidase inhibitor, Protease inhibitor, Renin inhibitor
cp	BRD-K35483542	alitretinoin	Retinoid receptor agonist	RARG, RARA, RARB, RXRA, RXRG, ABCA1, CYP2C8, CYP3A7, RXRB, VKORC1	Retinoid receptor agonist
cp	BRD-K93658967	aloisine	CDK inhibitor	CDK2, CDK5, CDK1, CDK5R1, CFTR, PTK2B, ZAP70	CDK inhibitor, CFTR channel agonist, Glycogen synthase kinase inhibitor
cp	BRD-K46742498	alosetron	Serotonin receptor antagonist	HTR3A	Serotonin receptor antagonist
cp	BRD-A60070924	alpha-estradiol	Estrogen receptor agonist	ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1	Estrogen receptor agonist
cp	BRD-K33396764	alpha-linolenic-acid	Omega 3 fatty acid stimulant	ELOVL4, FADS1, FADS2, FFAR1, FFAR4, PTGS2, SLC8A1, TRPV1	Omega 3 fatty acid stimulant
cp	BRD-K32398298	alprazolam	Benzodiazepine receptor agonist	GABRA1, GABRA2, GABRA3, GABRA5, CYP3A5, GABRA4, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	Benzodiazepine receptor agonist
cp	BRD-A00993607	alprenolol	Adrenergic receptor antagonist	ADRB1, ADRB2, HTR1A	Adrenergic receptor antagonist
cp	BRD-K35498378	alrestatin	Aldose reductase inhibitor	AKR1B1	Aldose reductase inhibitor
cp	BRD-K00610438	altanserin	Serotonin receptor antagonist	HTR2A, HTR2C	Serotonin receptor antagonist
cp	BRD-A56675431	altizide	Thiazide diuretic		Thiazide diuretic
cp	BRD-A27554692	altrenogest	Progestogen hormone	PGR	Progestogen hormone
cp	BRD-K67043667	altretamine	DNA synthesis inhibitor		DNA synthesis inhibitor
cp	BRD-K89055274	alverine	Muscle relaxant	HTR1A	Muscle relaxant
cp	BRD-K83988098	alvespimycin	HSP inhibitor	HSP90AA1	HSP inhibitor
cp	BRD-K87909389	alvocidib	CDK inhibitor	CDK2, CDK4, CDK1, CDK6, CDK7, CDK9, CDK5, CDK8, EGFR, PYGM, BCL2, BIRC5, CCNT1, MCL1, XIAP	CDK inhibitor
cp	BRD-K70330367	amantadine	Glutamate receptor antagonist	DRD2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A	Glutamate receptor antagonist
cp	BRD-A10969569	ambelline	Plant alkaloid		Plant alkaloid
cp	BRD-K56558538	ambroxol	Sodium channel blocker	GBA	Sodium channel blocker
cp	BRD-A16478930	amcinonide	Glucocorticoid receptor agonist	NR3C1, ANXA1	Glucocorticoid receptor agonist
cp	BRD-K97181089	amiloride	Sodium channel blocker	SCNN1A, ASIC1, ASIC2, SCNN1B, SCNN1G, AOC1, ASIC3, PKD2, PKD2L1, PLAU, SCNN1D, SLC9A1, TRPC7, TRPV2	Sodium channel blocker
cp	BRD-K04976539	aminogenistein	SRC inhibitor	LCK	SRC inhibitor
cp	BRD-A25234499	aminoglutethimide	Glucocorticoid receptor antagonist	CYP19A1, CYP11A1, NR3C1	Glucocorticoid receptor antagonist
cp	BRD-K51066026	aminoindazole	Ionophore		Ionophore
cp	BRD-K57631554	aminolevulinic-acid	Oxidizing agent	ALAD	Oxidizing agent
cp	BRD-A28318179	aminomethyltransferase	Nitric oxide synthase inhibitor	NOS2	Nitric oxide synthase inhibitor
cp	BRD-A69917777	aminopentamide	Acetylcholine receptor antagonist		Acetylcholine receptor antagonist
cp	BRD-K07762753	aminopurvalanol-a	Tyrosine kinase inhibitor	CDK1, CDK2, CDK5, CDK6	Tyrosine kinase inhibitor, CDK inhibitor
cp	BRD-K17561142	amiodarone	Potassium channel blocker	KCNH2, ADRB1, CACNA1H, CACNA2D2, CHRM3, CYP2C8, KCNA7, SCN5A	Potassium channel blocker
cp	BRD-A60197193	amisulpride	Dopamine receptor antagonist	DRD2, DRD3, HTR2A, HTR7	Dopamine receptor antagonist
cp	BRD-K53737926	amitriptyline	Norepinephrine inhibitor	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, HTR6, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRB1, ADRB2, ADRB3, HRH2, HRH4, HTR1A, HTR1B, HTR1D, HTR2A, HTR2C, HTR7, KCNA1, KCND2, KCND3, KCNQ2, KCNQ3, NTRK1, NTRK2, OPRD1, OPRK1, OPRM1, SIGMAR1	Norepinephrine inhibitor, Norepinephrine reuptake inhibitor, Serotonin receptor antagonist, Serotonin reuptake inhibitor
cp	BRD-K29530284	amlexanox	Histamine receptor modulator	FGF1, IL3, S100A12, S100A13	Histamine receptor modulator
cp	BRD-A64297288	amlodipine	Calcium channel blocker	CACNA1C, CACNA1D, CACNA2D1, ABCG2, CA1, CACNA1B, CACNA1S, CACNA2D3, CACNB1, CACNB2, SMPD1	Calcium channel blocker
cp	BRD-K91290917	amodiaquine	Histamine receptor agonist	HNMT, CYP2C8	Histamine receptor agonist
cp	BRD-K56334280	amonafide	Topoisomerase inhibitor	TOP2A, TOP2B	Topoisomerase inhibitor
cp	BRD-K02265150	amoxapine	Norepinephrine reuptake inhibitor	SLC6A2, SLC6A4, HTR2A, HTR6, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2B, HTR2C, HTR3A, HTR7, SLC6A3	Norepinephrine reuptake inhibitor
cp	BRD-K55044200	amoxicillin	Penicillin binding protein inhibitor	SLC15A1	Penicillin binding protein inhibitor
cp	BRD-K52397688	amperozide	Dopamine receptor antagonist	HTR2A, DRD2, FAAH	Dopamine receptor antagonist
cp	BRD-A16754160	ampicillin	Bacterial cell wall synthesis inhibitor	SLC15A1	Bacterial cell wall synthesis inhibitor
cp	BRD-A39172021	ampiroxicam	Cyclooxygenase inhibitor	PTGS1, PTGS2	Cyclooxygenase inhibitor
cp	BRD-K98490050	amsacrine	Topoisomerase inhibitor	TOP2A, KCNH2	Topoisomerase inhibitor
cp	BRD-K39670393	amthamine	Histamine receptor agonist	HRH2	Histamine receptor agonist
cp	BRD-A09062839	amylocaine	Local anesthetic		Local anesthetic
cp	BRD-K36638830	anabasine	Acetylcholine receptor agonist		Acetylcholine receptor agonist
cp	BRD-K62200014	anagrelide	Phosphodiesterase inhibitor	PDE3A	Phosphodiesterase inhibitor
cp	BRD-K78280988	anandamide	Cannabinoid receptor agonist	CNR1, CNR2, TRPV1, CACNA1G, CACNA1H, CACNA1I, GLRA1, GPR119, GPR18, GPR55, KCNA2, KCND3, KCNK3, KCNK9, TRPM8	Cannabinoid receptor agonist
cp	BRD-K52172416	anastrozole	Aromatase inhibitor	CYP19A1	Aromatase inhibitor
cp	BRD-K82164249	andarine	Androgen receptor modulator	AR	Androgen receptor modulator
cp	BRD-A95513702	androsta-1,4-dien-3,17-dione	Aromatase inhibitor	CYP19A1	Aromatase inhibitor
cp	BRD-U66370498	androstanol	CAR antagonist	NR1I3	CAR antagonist
cp	BRD-K32610195	androstenedione	Cytochrome P450 inhibitor	AKR1C3, HSD17B1, HSD3B1	Cytochrome P450 inhibitor
cp	BRD-K24994810	androstenol	GABA receptor modulator	NR1I3	GABA receptor modulator
cp	BRD-K08502430	angiogenesis-inhibitor	Angiogenesis inhibitor	EGFR	Angiogenesis inhibitor
cp	BRD-K88611939	aniracetam	Glutamate receptor agonist	DRD2, GRIA1, GRIA2, GRIA3, HTR2A, GRIA4	Glutamate receptor agonist
cp	BRD-K91370081	anisomycin	DNA synthesis inhibitor	NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1	DNA synthesis inhibitor
cp	BRD-K55424922	anpirtoline	Serotonin receptor agonist	HTR1B, HTR3A	Serotonin receptor agonist
cp	BRD-K56001384	antimycin-a	ATP synthase inhibitor	CYCS	ATP synthase inhibitor
cp	BRD-K28115081	apafant	Platelet activating factor receptor antagonist	PTAFR	Platelet activating factor receptor antagonist
cp	BRD-K64606589	apicidin	HDAC inhibitor	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor
cp	BRD-K01493881	apigenin	Casein kinase inhibitor	AKR1B1, AR, CDK6, CFTR, CYP19A1, CYP1A2, CYP1B1, HSD17B1, MAOA, ODC1, XDH	Casein kinase inhibitor, Cell proliferation inhibitor, Cytochrome P450 inhibitor
cp	BRD-K15164005	apoptosis-activator-II	Carboxylesterase inhibitor	BCHE, CES1	Carboxylesterase inhibitor
cp	BRD-K17306061	aprepitant	Tachykinin antagonist	TACR1, CYP2C19	Tachykinin antagonist
cp	BRD-K29555132	arachidonamide	Cannabinoid receptor agonist	CNR1, CNR2	Cannabinoid receptor agonist
cp	BRD-K07303502	arachidonyl-trifluoro-methane	Cytosolic phospholipase inhibitor	PLA2G4A	Cytosolic phospholipase inhibitor
cp	BRD-K53523901	arctigenin	MEK inhibitor	ADIPOR1, AHR, CHUK, MAP2K1	MEK inhibitor
cp	BRD-K72726508	arcyriaflavin-a	CDK inhibitor	CCND1, CCNE1, CDK2, CDK4	CDK inhibitor
cp	BRD-K63792901	arecaidine	Acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4	Acetylcholine receptor agonist
cp	BRD-K23922020	arecaidine	Acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4	Acetylcholine receptor agonist
cp	BRD-A48261811	argatroban	Thrombin inhibitor	F2, CYP3A5	Thrombin inhibitor
cp	BRD-K70358946	aripiprazole	Serotonin receptor agonist	DRD2, HTR1A, HTR2A, HRH1, HTR1B, HTR1D, HTR2C, ADRA1A, ADRA1B, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD3, DRD4, DRD5, HTR1E, HTR3A, HTR6, HTR7	Serotonin receptor agonist, Serotonin receptor antagonist
cp	BRD-K17110974	aristolochic-acid	Phospholipase inhibitor		Phospholipase inhibitor
cp	BRD-K39621635	artemether	Antimalarial	ATP1A1, CYP2B6, CYP2C19, CYP3A5	Antimalarial
cp	BRD-A47829399	artesunate	DNA synthesis inhibitor		DNA synthesis inhibitor
cp	BRD-A70514680	articaine	Local anesthetic		Local anesthetic
cp	BRD-K34092021	arvanil	TRPV agonist	CNR1, TRPV1	TRPV agonist
